enterprise_id,treatment_285,ent_running,Gender,BlockCode,_weight,age_entrepreneur,CIBILscore,NumberofHouseholdmembers,HighestEducation,Religion,Community,MaritalStatus,OwnRentedHouse,TypeofDwelling,CAPBeneficiary,Typeofownership,Existingbusiness,Category_of_enterprise,Vehicle,Water,Equipmentavailability,Skilledlaboravailability,ECP_Score,HouseholdIncome
e_1038,0,0,Female,B079,1,43,650 to 750,2,Secondary - 8th to 10th Standard,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,50000,Available,No,Yes,50,70000
e_1039,0,1,Female,B097,4,36,-1 to 0,1,Diploma,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,105000,Available,Yes,Yes,55,200000
e_1047,0,0,Female,B085,,35,650 to 750,1,Graduate,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,20000,Available,No,Yes,55,130000
e_1049,0,0,Female,B051,7,36,650 to 750,4,Senior Secondary - 11th to 12th  ,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,GREEN,300000,Available,No,Yes,40,89000
e_1050,0,1,Female,B020,1,37,650 to 750,2,Primary - 1st to 5th Standard,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,100000,Available,No,Yes,55,170000
e_1051,0,0,Female,B110,5,29,650 to 750,3,Graduate,Hindu,BC,Unmarried,Own,Kutcha House,Yes,Individual/Sole Proprietary,Existing,GREEN,200000,Available,No,Yes,50,32000
e_1052,0,0,Female,B005,1,36,650 to 750,1,Secondary - 8th to 10th Standard,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,35350,Available,No,Yes,60,150000
e_1053,0,0,Female,B115,3,30,650 to 750,1,Graduate,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,GREEN,100000,Available,Yes,Yes,50,560000
e_1054,0,1,Female,B061,3,42,650 to 750,3,Secondary - 8th to 10th Standard,Hindu,BC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,GREEN,100000,Available,No,Yes,40,25000
e_1056,0,1,Female,B021,2,40,650 to 750,2,Secondary - 8th to 10th Standard,Hindu,SC,Married,Own,Kutcha House,Yes,Partnership,Existing,GREEN,50000,Available,No,No,40,35000
e_1057,0,1,Female,B032,2,44,750 to 900,2,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,Yes,Individual/Sole Proprietary,Existing,GREEN,25000,Available,No,Yes,60,168000
e_1058,0,1,Female,B046,,29,650 to 750,1,Senior Secondary - 11th to 12th  ,Hindu,SC,Married,Own,Pucca House,Yes,Individual/Sole Proprietary,New,WHITE,60000,Available,Yes,Yes,40,75000
