"id","personid","pred_outS"
"e_100","e_100","0.321428347166014"
"e_101","e_101","0.293596590470934"
"e_1017","e_1017","0.329733589349298"
"e_1019","e_1019","0.434047823094463"
"e_1025","e_1025","0.328150415201722"
"e_1039","e_1039","0.448766597241314"
"e_1054","e_1054","0.424737891473633"
"e_1064","e_1064","0.335729844870477"
"e_1075","e_1075","0.368974834280039"
"e_108","e_108","0.451172174581593"
"e_1080","e_1080","0.420009491317503"
"e_1082","e_1082","0.443276297207383"
"e_1088","e_1088","0.468064257370236"
"e_1089","e_1089","0.323672575462187"
"e_1090","e_1090","0.29189715625836"
"e_1092","e_1092","0.334419798689291"
"e_1096","e_1096","0.285729562393933"
"e_11","e_11","0.457273892072458"
"e_1103","e_1103","0.483465434196936"
"e_111","e_111","0.445926222566346"
"e_1110","e_1110","0.46213917694783"
"e_1113","e_1113","0.331454726458493"
"e_1114","e_1114","0.302512328689899"
"e_1116","e_1116","0.434216587035282"
"e_1118","e_1118","0.35652514458532"
"e_112","e_112","0.444794592456747"
"e_1121","e_1121","0.311418128653355"
"e_1125","e_1125","0.341491296932922"
"e_1133","e_1133","0.29363649600324"
"e_1135","e_1135","0.300233679243965"
"e_1139","e_1139","0.451033405851839"
"e_1140","e_1140","0.355238204524998"
"e_1143","e_1143","0.317460728563675"
"e_1144","e_1144","0.450752809477689"
"e_1150","e_1150","0.370434051782613"
"e_1174","e_1174","0.464119758956994"
"e_1176","e_1176","0.424051412480102"
"e_1182","e_1182","0.295971109244777"
"e_1183","e_1183","0.364647720789675"
"e_1193","e_1193","0.443806788580683"
"e_1197","e_1197","0.304279597297695"
"e_12","e_12","0.44052286859992"
"e_1200","e_1200","0.319337798132341"
"e_1206","e_1206","0.375597007787977"
"e_1208","e_1208","0.286822200121601"
"e_1236","e_1236","0.463306146717746"
"e_1239","e_1239","0.471509057826746"
"e_1241","e_1241","0.431623810340879"
"e_1242","e_1242","0.300235852624943"
"e_1246","e_1246","0.44385173906657"
"e_126","e_126","0.276760626082846"
"e_1264","e_1264","0.45411691033111"
"e_1277","e_1277","0.307388139887869"
"e_1278","e_1278","0.459983016280999"
"e_1284","e_1284","0.447610403678778"
"e_1285","e_1285","0.324964734876576"
"e_1286","e_1286","0.316642160724012"
"e_1289","e_1289","0.293662378250991"
"e_129","e_129","0.456701594911308"
"e_1297","e_1297","0.375586835824637"
"e_1302","e_1302","0.342896769964587"
"e_1303","e_1303","0.464454746045354"
"e_1304","e_1304","0.293639857230447"
"e_1307","e_1307","0.360902877174204"
