"id","personid","pred_inS","pred_inS_alt","pred_inS_drop"
"e_1","e_1","0.369236644120469","0.367566406891335","0.369236644120469"
"e_100","e_100","0.3244806940526","0.323794757001439","0.3244806940526"
"e_1004","e_1004","0.458071474738386","0.46271648058595","0.458071474738386"
"e_1008","e_1008","0.450882173866842","0.451092291364449","0.450882173866842"
"e_1009","e_1009","0.339606729601717","0.339992011620418","0.339606729601717"
"e_101","e_101","0.300817891351381","0.305928845607999","0.300817891351381"
"e_1013","e_1013","0.479045189981476","0.480418736560154","0.479045189981476"
"e_1015","e_1015","0.454736912338246","0.450966985162691","0.454736912338246"
"e_1017","e_1017","0.346639145203531","0.344592299437393","0.346639145203531"
"e_1018","e_1018","0.499972991577077","0.498644903160303","0.499972991577077"
"e_1019","e_1019","0.466525009608174","0.470172816613108","0.466525009608174"
"e_102","e_102","0.411212094061669","0.412284351979038","0.411212094061669"
"e_1020","e_1020","0.470371064600485","0.471565377683085","0.470371064600485"
"e_1021","e_1021","0.319118788771577","0.319448627175673","0.319118788771577"
"e_1025","e_1025","0.319603630224848","0.317947204004616","0.319603630224848"
"e_1026","e_1026","0.310408074744649","0.315733139026526","0.310408074744649"
"e_1027","e_1027","0.312193686545413","0.313677298560308","0.312193686545413"
"e_1029","e_1029","0.469834894567899","0.463974305957739","0.469834894567899"
"e_1036","e_1036","0.390765803370148","0.392855868736717","0.390765803370148"
"e_1039","e_1039","0.466280021957763","0.464871086858336","0.466280021957763"
"e_1047","e_1047","0.454819717133475","0.451637564761892","0.454819717133475"
"e_1049","e_1049","0.419827312083349","0.419177739136301","0.419827312083349"
"e_1050","e_1050","0.315016582142686","0.311959052636522","0.315016582142686"
"e_1053","e_1053","0.414077729569198","0.411905607953138","0.414077729569198"
"e_1054","e_1054","0.40522188674995","0.403359247648226","0.40522188674995"
"e_1058","e_1058","0.453553638013137","0.448527232353832","0.453553638013137"
"e_1060","e_1060","0.3583388648266","0.360835499819411","0.3583388648266"
"e_1064","e_1064","0.353724234327594","0.354181291637639","0.353724234327594"
"e_1066","e_1066","0.350262660309818","0.346870972025512","0.350262660309818"
"e_1071","e_1071","0.451656126108576","0.455392538872443","0.451656126108576"
"e_1075","e_1075","0.380912625098059","0.382183503545652","0.380912625098059"
"e_1076","e_1076","0.448297489133214","0.447418165688599","0.448297489133214"
"e_1078","e_1078","0.338864951581786","0.341532457677773","0.338864951581786"
"e_1079","e_1079","0.447416166612008","0.450033035430572","0.447416166612008"
"e_108","e_108","0.439341830375476","0.441790171026394","0.439341830375476"
"e_1080","e_1080","0.452363322294227","0.454415494582093","0.452363322294227"
"e_1081","e_1081","0.455274483801858","0.456925177980105","0.455274483801858"
"e_1082","e_1082","0.476887489420088","0.47670299033514","0.476887489420088"
"e_1083","e_1083","0.319406818715301","0.318495039167256","0.319406818715301"
"e_1084","e_1084","0.405564729395858","0.404430912370255","0.405564729395858"
"e_1086","e_1086","0.470009819356317","0.46793956801414","0.470009819356317"
"e_1087","e_1087","0.429901831328446","0.429282230493932","0.429901831328446"
"e_1088","e_1088","0.494228263895957","0.490457338060016","0.494228263895957"
"e_1089","e_1089","0.358340722590879","0.364804287999912","0.358340722590879"
"e_109","e_109","0.447321952029269","0.450921721463247","0.447321952029269"
"e_1090","e_1090","0.318196475865424","0.314849572606441","0.318196475865424"
"e_1092","e_1092","0.345399199160705","0.344198588117014","0.345399199160705"
"e_1093","e_1093","0.303554154979686","0.302163505538286","0.303554154979686"
"e_1094","e_1094","0.317919068835851","0.320243392445779","0.317919068835851"
"e_1096","e_1096","0.304843147351315","0.304594704587681","0.304843147351315"
"e_1098","e_1098","0.452803175953854","0.453558074075664","0.452803175953854"
"e_11","e_11","0.440608528702886","0.440523458363349","0.440608528702886"
"e_1100","e_1100","0.299897439571343","0.299769684093941","0.299897439571343"
"e_1103","e_1103","0.470438929943095","0.474517413104139","0.470438929943095"
"e_1106","e_1106","0.450644983914811","0.449972178400733","0.450644983914811"
"e_1109","e_1109","0.477898058551103","0.482417194531383","0.477898058551103"
"e_111","e_111","0.427015320766011","0.422399982689748","0.427015320766011"
"e_1110","e_1110","0.429033183932102","0.430775353561259","0.429033183932102"
"e_1111","e_1111","0.340630472142724","0.340999562165329","0.340630472142724"
"e_1113","e_1113","0.365387679127646","0.366031192632028","0.365387679127646"
"e_1114","e_1114","0.298208325420352","0.299339664492184","0.298208325420352"
"e_1116","e_1116","0.42356506831992","0.422068126681846","0.42356506831992"
"e_1117","e_1117","0.338117608741212","0.337124638965183","0.338117608741212"
"e_1118","e_1118","0.356836162236622","0.353800771607234","0.356836162236622"
"e_112","e_112","0.442112436869983","0.438918461147165","0.442112436869983"
"e_1121","e_1121","0.324132463473195","0.325036989548681","0.324132463473195"
"e_1122","e_1122","0.453216871663875","0.454552552640085","0.453216871663875"
"e_1123","e_1123","0.477552290711225","0.477710245179597","0.477552290711225"
"e_1125","e_1125","0.370819402091798","0.373567791731112","0.370819402091798"
"e_1128","e_1128","0.313684892042106","0.319794216837706","0.313684892042106"
"e_1129","e_1129","0.40241389541742","0.400950605193736","0.40241389541742"
"e_1133","e_1133","0.31431049968727","0.307429094851613","0.31431049968727"
"e_1134","e_1134","0.324897123818034","0.327894260155116","0.324897123818034"
"e_1135","e_1135","0.29378670068075","0.291673257351175","0.29378670068075"
